Name,Affiliation,Topics
Orlando Arguello-Miranda,"Plant and Microbial Biology, CALS",
Frank Bai,"BAE, CALS",
Justin Baker,"Forestry and Environmental Resources, CNR","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Peter Balint-Kurti,"Entomology and Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Nonoy Bandillo,"Crop & Soil Sciences, CALS",
Rodolphe Barrangou,"FBNS, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Terri Billeisen,"Entomology and Plant Pathology, CALS",
Alper Bozkurt,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Michael Bradshaw,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
James Braun,"Mechanical & Aerospace Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Zachary Brown,"Ag & Rescource Econ, CALS",
Gina Brown-Guedira,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Doug Call,"Civil, Construction & Environmental Engr, COE","Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Ignazio Carbone,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Rada Chirkova,"Computer Science, COE",
Mallory Choudoir,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Maude Cuchiara,"Materials Science and Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Michael Daniele,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Ralph Dean,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Huiling Ding,"English, CHASS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Colleen Doherty,"Molecular and Structural Biochem, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Joseph Donaldson,"Agriculture & Human Sciences, CALS",
Liz Driscoll,"Horticultural Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Owen Duckworth,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Kirill Efimenko,"Chemical & Biomolecular Engr, COE","Plant Ecology and Microbial Biology, Policy and Society and Economics, Sustainable Ag and Resource Management"
Raoul Farer,"Textile Engineering, Chemistry and Science, WCOT",
Joseph Gage,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Christopher Galik,"Public Administration, CHASS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Peng Gao,"Computer Science, COE",
Luke Gatiboni,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jan Genzer,"Chemical & Biomolecular Engr, COE","Plant Ecology and Microbial Biology, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Chris Gorman,"Chemistry, COS",
Adrienne Gorny,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Khara Grieger,"Applied Ecology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
