name,department,college,affiliation
Yin Liu,Materials Science and Engineering,College of Engineering,Materials Science and Engineering
Rongmon Bordoloi,Physics,College of Sciences,Physics
David Zaharoff,Biomedical Engineering,College of Engineering,Biomedical Engineering; Comparative Medicine Institute
Paul Hess,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Veronica Augustyn,Materials Science and Engineering,College of Engineering,Materials Science and Engineering; Energy Collaborative; KIETS Climate Leaders Program
Lorena Bociu,Mathematics,College of Sciences,Mathematics
Kailash Misra,Mathematics,College of Sciences,Mathematics
Robert Golub,Physics,College of Sciences,Physics
Jack Wang,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources; Forest Biomaterials; Forestry and Environmental Resources; Genetics and Genomics Academy; N.C. Plant Sciences Initiative; Forestry and Environmental Resources; Genetic Engineering and Society Center
Lucian Lucia,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Global One Health Academy
Daniela Jones,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; Genetic Engineering and Society; Biological and Agricultural Engineering; Coastal Resilience and Sustainability Initiative; Center for Geospatial Analytics; Data Science and AI Academy; Biological and Agricultural Engineering; Genetic Engineering and Society Center; N.C. Plant Sciences Initiative
Xiaoning Jiang,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering; Coastal Resilience and Sustainability Initiative; Advanced Self Powered Systems of Sensors and Technologies Center
Venkateswaran Narayanaswamy,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
